,id,name,hind_name,wikipedia_links
1079,47623,Grain Basmati Rice ,Chawal,https://en.wikipedia.org/wiki/Grain basmati rice 
1080,47651,Snow Peas , ,https://en.wikipedia.org/wiki/Snow peas 
1081,47924,Coffee Beans , ,https://en.wikipedia.org/wiki/Coffee beans 
1082,48072,Bamboo Shoots , ,https://en.wikipedia.org/wiki/Bamboo shoots 
1083,48130,Mooli ,Radish,https://en.wikipedia.org/wiki/Mooli 
1084,48337,Mango Chunda , ,https://en.wikipedia.org/wiki/Mango chunda 
1085,48757,Moong Dal , ,https://en.wikipedia.org/wiki/Moong dal 
1086,49232,Walnut Praline , ,https://en.wikipedia.org/wiki/Walnut praline 
1087,49355,Olive , ,https://en.wikipedia.org/wiki/Olive 
1088,49455,Herbed Pita , ,https://en.wikipedia.org/wiki/Herbed pita 
1089,49494,Apple Skins Swirls , ,https://en.wikipedia.org/wiki/Apple skins swirls 
1090,49782,Rice Vermicelli ,Seviyan,https://en.wikipedia.org/wiki/Rice vermicelli 
1091,50050,Chili Garlic Sauce , ,https://en.wikipedia.org/wiki/Chili garlic sauce 
1092,50299,Wheat Grass , ,https://en.wikipedia.org/wiki/Wheat grass 
1093,50356,Amchur ,Mango Peel Powder,https://en.wikipedia.org/wiki/Amchur 
1094,50428,Grain Rice ,Chawal,https://en.wikipedia.org/wiki/Grain rice 
1095,50435,Strawberry Sauce , ,https://en.wikipedia.org/wiki/Strawberry sauce 
1096,50538,Aloo Masala , ,https://en.wikipedia.org/wiki/Aloo masala 
1097,50541,Mysore Chutney , ,https://en.wikipedia.org/wiki/Mysore chutney 
1098,50645,Millet Flour ,Ragi /Nachni,https://en.wikipedia.org/wiki/Millet flour 
1099,50803,Tortilla , ,https://en.wikipedia.org/wiki/Tortilla 
1100,50873,Vanaspati , ,https://en.wikipedia.org/wiki/Vanaspati 
1101,51146,Clove Ginger ,Adrak,https://en.wikipedia.org/wiki/Clove ginger 
1102,51149,Neem , ,https://en.wikipedia.org/wiki/Neem 
1103,51362,Noodle , ,https://en.wikipedia.org/wiki/Noodle 
1104,51390,Wheat Spaghetti , ,https://en.wikipedia.org/wiki/Wheat spaghetti 
1105,51426,Flat Rice Noodles , ,https://en.wikipedia.org/wiki/Flat rice noodles 
1106,51564,Ferrero Rocher , ,https://en.wikipedia.org/wiki/Ferrero rocher 
1107,51839,Ready-Made Samosa , ,https://en.wikipedia.org/wiki/Ready-made samosa 
1108,51937,Oatmeal Cookies , ,https://en.wikipedia.org/wiki/Oatmeal cookies 
1109,52467,Vegetable Oil , ,https://en.wikipedia.org/wiki/Vegetable oil 
1110,52474,Sun Tomatoes , ,https://en.wikipedia.org/wiki/Sun tomatoes 
1111,52875,Maggi Masala , ,https://en.wikipedia.org/wiki/Maggi masala 
1112,52906,Mango Pickle , ,https://en.wikipedia.org/wiki/Mango pickle 
1113,53096,Malta Orange , ,https://en.wikipedia.org/wiki/Malta orange 
1114,53134,Khoya , ,https://en.wikipedia.org/wiki/Khoya 
1115,53225,Oreo Biscuits , ,https://en.wikipedia.org/wiki/Oreo biscuits 
1116,53437,Beetel ,Paan,https://en.wikipedia.org/wiki/Beetel 
1117,53443,Menthol , ,https://en.wikipedia.org/wiki/Menthol 
1118,53482,Colocasia , ,https://en.wikipedia.org/wiki/Colocasia 
1119,53638,Coconut Kadhi , ,https://en.wikipedia.org/wiki/Coconut kadhi 
1120,53657,Dahiwali Phudine Chutney , ,https://en.wikipedia.org/wiki/Dahiwali phudine chutney 
1121,54032,Soda- Bi Carb , ,https://en.wikipedia.org/wiki/Soda- bi carb 
1122,54652,Palak Methi Na Muthias , ,https://en.wikipedia.org/wiki/Palak methi na muthias 
1123,54893,Tandoori Masala , ,https://en.wikipedia.org/wiki/Tandoori masala 
1124,55140,Onion Purée , ,https://en.wikipedia.org/wiki/Onion purée 
1125,55363,Multigrain Bread , ,https://en.wikipedia.org/wiki/Multigrain bread 
1126,55364,Curly Lettuce , ,https://en.wikipedia.org/wiki/Curly lettuce 
1127,55761,Chilli Coriander Rice , ,https://en.wikipedia.org/wiki/Chilli coriander rice 
1128,56457,Papad , ,https://en.wikipedia.org/wiki/Papad 
1129,56564,Piece Ginger ,,https://en.wikipedia.org/wiki/Piece ginger 
1130,56713,Flour Tortilla , ,https://en.wikipedia.org/wiki/Flour tortilla 
1131,56740,Herbed Hummus , ,https://en.wikipedia.org/wiki/Herbed hummus 
1132,56853,Tandoori Paneer Tikas , ,https://en.wikipedia.org/wiki/Tandoori paneer tikas 
1133,57355,Thai Vegetable , ,https://en.wikipedia.org/wiki/Thai vegetable 
1134,57403,Limca Drink ,,https://en.wikipedia.org/wiki/Limca drink 
1135,57464,Bikaneri Papad , ,https://en.wikipedia.org/wiki/Bikaneri papad 
1136,57498,Urad Dal Papad , ,https://en.wikipedia.org/wiki/Urad dal papad 
1137,57593,Alphonso Mango , ,https://en.wikipedia.org/wiki/Alphonso mango 
1138,57603,Papaya Purée , ,https://en.wikipedia.org/wiki/Papaya purée 
1139,57707,Mexican Blend , ,https://en.wikipedia.org/wiki/Mexican blend 
1140,57878,Farfalle Pasta ,,https://en.wikipedia.org/wiki/Farfalle pasta 
1141,57913,Wheat Fusilli , ,https://en.wikipedia.org/wiki/Wheat fusilli 
1142,58010,Fusillii , ,https://en.wikipedia.org/wiki/Fusillii 
1143,58360,Carbonated Lemon Drink , ,https://en.wikipedia.org/wiki/Carbonated lemon drink 
1144,58397,Macaroons , ,https://en.wikipedia.org/wiki/Macaroons 
1145,58411,Herbed Pizza , ,https://en.wikipedia.org/wiki/Herbed pizza 
1146,58442,Apricot Jam , ,https://en.wikipedia.org/wiki/Apricot jam 
1147,58485,Yogurt ,Dahi,https://en.wikipedia.org/wiki/Yogurt 
1148,58537,Ginger-Green Chill , ,https://en.wikipedia.org/wiki/Ginger-green chill 
1149,58550,Rajgira Paratha , ,https://en.wikipedia.org/wiki/Rajgira paratha 
1150,58608,Brie Cheese , ,https://en.wikipedia.org/wiki/Brie cheese 
1151,58624,Pomogranate , ,https://en.wikipedia.org/wiki/Pomogranate 
1152,58647,Can Pears ,,https://en.wikipedia.org/wiki/Can pears 
1153,58718,Arugula , ,https://en.wikipedia.org/wiki/Arugula 
1154,58926,Tomatoes Pesto , ,https://en.wikipedia.org/wiki/Tomatoes pesto 
1155,58975,Tomato Soup , ,https://en.wikipedia.org/wiki/Tomato soup 
1156,59032,Coriander Coconut Chutney , ,https://en.wikipedia.org/wiki/Coriander coconut chutney 
1157,59067,Teabag , ,https://en.wikipedia.org/wiki/Teabag 
1158,59198,Conchiglie , ,https://en.wikipedia.org/wiki/Conchiglie 
1159,59254,Petha , ,https://en.wikipedia.org/wiki/Petha 
1160,59285,Phodshi , ,https://en.wikipedia.org/wiki/Phodshi 
1161,59332,Gram Flour ,Coarse Besan ,https://en.wikipedia.org/wiki/Gram flour 
1162,59440,Pearl Onions , ,https://en.wikipedia.org/wiki/Pearl onions 
1163,59551,Carrot Ka Achaar , ,https://en.wikipedia.org/wiki/Carrot ka achaar 
1164,59758,Ginger Biscuits ,Adrak,https://en.wikipedia.org/wiki/Ginger biscuits 
1165,59775,Bread Tartlets , ,https://en.wikipedia.org/wiki/Bread tartlets 
1166,59779,Pineapple Purée , ,https://en.wikipedia.org/wiki/Pineapple purée 
1167,59874,Pineapple Wafer Biscuits , ,https://en.wikipedia.org/wiki/Pineapple wafer biscuits 
1168,59928,Aloe Vera , ,https://en.wikipedia.org/wiki/Aloe vera 
1169,59943,Tinned , ,https://en.wikipedia.org/wiki/Tinned 
1170,60023,Peled Pistachios , ,https://en.wikipedia.org/wiki/Peled pistachios 
