id,name,hind_name,wikipedia_links
194,Chilli Sauce ,,https://en.wikipedia.org/wiki/Chilli sauce 
195,Burger Buns ,, 
196,Panch Phoron ,,https://en.wikipedia.org/wiki/Panch phoron 
197,Tamarind ,Imli,https://en.wikipedia.org/wiki/Tamarind 
198,Malabar Spinach ,,https://en.wikipedia.org/wiki/Malabar spinach 
199,Soy Sauce ,,https://en.wikipedia.org/wiki/Soy sauce 
200,Noodles ,,https://en.wikipedia.org/wiki/Noodles 
201,Hakka Noodles ,, 
202,Soda Bi-Carb ,, 
203,Garlic Cloves ,Lehsun, 
204,Lemons ,,https://en.wikipedia.org/wiki/Lemons 
205,Semolina ,Rava,https://en.wikipedia.org/wiki/Semolina 
206,Citric Acid ,Nimbu Ka Phool,https://en.wikipedia.org/wiki/Citric acid 
207,Fruit Salt ,,https://en.wikipedia.org/wiki/Fruit salt 
208,Khaman Dhoklas ,, 
209,Gooseberries ,Amlas,https://en.wikipedia.org/wiki/Gooseberries 
210,Star Anise ,Chakri Phool,https://en.wikipedia.org/wiki/Star anise 
211,Peanuts ,,https://en.wikipedia.org/wiki/Peanuts 
212,Mawa ,Khoya,https://en.wikipedia.org/wiki/Mawa 
213,Pistachios ,,https://en.wikipedia.org/wiki/Pistachios 
214,Bottle Gourd ,Doodhi / Lauki,https://en.wikipedia.org/wiki/Bottle gourd 
215,Parathas ,, 
216,Grapes ,,https://en.wikipedia.org/wiki/Grapes 
217,Ash Gourd ,,https://en.wikipedia.org/wiki/Ash gourd 
218,Slaked Lime ,,https://en.wikipedia.org/wiki/Slaked lime 
219,Rasgullas ,, 
220,Figs ,Anjeer,https://en.wikipedia.org/wiki/Figs 
221,Mava ,Khoya,https://en.wikipedia.org/wiki/Mava 
222,Nuts ,,https://en.wikipedia.org/wiki/Nuts 
223,Biscuits ,,https://en.wikipedia.org/wiki/Biscuits 
224,Papaya ,,https://en.wikipedia.org/wiki/Papaya 
225,Banana ,,https://en.wikipedia.org/wiki/Banana 
226,Watermelon ,Tarbuj,https://en.wikipedia.org/wiki/Watermelon 
227,Dates ,Khajur,https://en.wikipedia.org/wiki/Dates 
228,Beetroot ,,https://en.wikipedia.org/wiki/Beetroot 
229,Feta Cheese ,,https://en.wikipedia.org/wiki/Feta cheese 
230,Thyme ,,https://en.wikipedia.org/wiki/Thyme 
231,Parsley ,,https://en.wikipedia.org/wiki/Parsley 
232,Coconut Milk ,,https://en.wikipedia.org/wiki/Coconut milk 
233,Vegetable Korma ,, 
