id,name,Wikipedia links
303,Bayleaves (Tejpatta),https://en.wikipedia.org/wiki/Bayleaves (Tejpatta)
304,Dried Ginger Powder (Soonth),https://en.wikipedia.org/wiki/Dried Ginger Powder (Soonth)
305,Mint Sprigs,https://en.wikipedia.org/wiki/Mint Sprigs
306,"Boiled , Peeled And Mashed Potato","https://en.wikipedia.org/wiki/Boiled , Peeled And Mashed Potato"
307,Grated Cauliflower,https://en.wikipedia.org/wiki/Grated Cauliflower
308,Curds,https://en.wikipedia.org/wiki/Curds
309,Pickle,https://en.wikipedia.org/wiki/Pickle
310,Potato Wedges,https://en.wikipedia.org/wiki/Potato Wedges
311,Finely Chopped Fenugreek (Methi) Leaves,https://en.wikipedia.org/wiki/Finely Chopped Fenugreek (Methi) Leaves
312,Chopped Potatoes,https://en.wikipedia.org/wiki/Chopped Potatoes
313,Coriander (Dhania),https://en.wikipedia.org/wiki/Coriander (Dhania)
314,Paratha,https://en.wikipedia.org/wiki/Paratha
315,"Fenugreek (Methi) Seeds, Soaked Overnight In Water","https://en.wikipedia.org/wiki/Fenugreek (Methi) Seeds, Soaked Overnight In Water"
316,Roughly Chopped Garlic (Lehsun),https://en.wikipedia.org/wiki/Roughly Chopped Garlic (Lehsun)
317,Roughly Chopped Ginger (Adrak),https://en.wikipedia.org/wiki/Roughly Chopped Ginger (Adrak)
318,"Green Chillies, Roughly Chopped","https://en.wikipedia.org/wiki/Green Chillies, Roughly Chopped"
319,"Potatoes, Peeled And Cut Into 50 Mm. (2"") Cubes",
320,"Capsicum, Cut Into 50 Mm. (2"") Pieces",
321,"Tomatoes, Deseeded And Cut Into 50 Mm. (2"") Pieces",
322,"Potatoes , Boiled And Peeled",
323,Purple Yam (Kand),https://en.wikipedia.org/wiki/Purple Yam (Kand)
324,Sliced Potatoes,https://en.wikipedia.org/wiki/Sliced Potatoes
325,Aniseeds (Vilayati Saunf),https://en.wikipedia.org/wiki/Aniseeds (Vilayati Saunf)
326,"Boiled , Peeled And Grated Potatoes","https://en.wikipedia.org/wiki/Boiled , Peeled And Grated Potatoes"
327,Curry Leaves (Kadi Patta),https://en.wikipedia.org/wiki/Curry Leaves (Kadi Patta)
328,Instant Dry Yeast,https://en.wikipedia.org/wiki/Instant Dry Yeast
329,Beaten Rice (Poha),https://en.wikipedia.org/wiki/Beaten Rice (Poha)
330,Sweet And Sour Sauce,https://en.wikipedia.org/wiki/Sweet And Sour Sauce
331,Cashewnut Halves,https://en.wikipedia.org/wiki/Cashewnut Halves
332,Chopped Cashewnuts (Kaju),https://en.wikipedia.org/wiki/Chopped Cashewnuts (Kaju)
333,Grated Tomatoes,https://en.wikipedia.org/wiki/Grated Tomatoes
