recipe_id,key,value,unit
74,Sodium,117.3,mg
74,Potassium,641.4,mg
74,Zinc,0.4,mg
75,Energy,357,cal
75,Protein,4.7,g
75,Carbohydrates,53.5,g
75,Fiber,6.3,g
75,Fat,12.6,g
75,Cholesterol,0,mg
75,Vitamin A,643.4,mcg
75,Vitamin B1,0.2,mg
75,Vitamin B2,0.1,mg
75,Vitamin B3,1.5,mg
75,Vitamin C,41.5,mg
75,Folic Acid,16,mcg
75,Calcium,182.5,mg
75,Iron,1.4,mg
75,Magnesium,0,mg
75,Phosphorus,0,mg
75,Sodium,117.3,mg
75,Potassium,641.4,mg
75,Zinc,0.4,mg
78,Energy,205,cal
78,Protein,1.9,g
78,Carbohydrates,11.8,g
78,Fiber,2.7,g
78,Fat,16.8,g
78,Cholesterol,0,mg
78,Sodium,12.3,mg
79,Energy,525,cal
79,Protein,15.5,g
79,Carbohydrates,50.4,g
79,Fiber,11.4,g
79,Fat,29.1,g
79,Cholesterol,0,mg
79,Sodium,54.4,mg
80,Energy,525,cal
80,Protein,15.5,g
80,Carbohydrates,50.4,g
80,Fiber,11.4,g
80,Fat,29.1,g
80,Cholesterol,0,mg
80,Sodium,54.4,mg
81,Energy,525,cal
81,Protein,15.5,g
81,Carbohydrates,50.4,g
81,Fiber,11.4,g
81,Fat,29.1,g
81,Cholesterol,0,mg
81,Sodium,54.4,mg
82,Energy,212,cal
82,Protein,2.5,g
82,Carbohydrates,33.2,g
82,Fiber,2.7,g
82,Fat,7.7,g
82,Cholesterol,0,mg
82,Sodium,155.1,mg
83,Energy,212,cal
83,Protein,2.5,g
83,Carbohydrates,33.2,g
83,Fiber,2.7,g
83,Fat,7.7,g
83,Cholesterol,0,mg
83,Sodium,155.1,mg
84,Energy,212,cal
84,Protein,2.5,g
84,Carbohydrates,33.2,g
84,Fiber,2.7,g
84,Fat,7.7,g
84,Cholesterol,0,mg
84,Sodium,155.1,mg
85,Energy,122,cal
85,Protein,3.1,g
85,Carbohydrates,12.3,g
85,Fiber,0.4,g
85,Fat,6.7,g
85,Cholesterol,1.9,mg
85,Vitamin A,60.8,mcg
85,Vitamin B1,0,mg
85,Vitamin B2,0,mg
85,Vitamin B3,0.4,mg
85,Vitamin C,3.9,mg
85,Folic Acid,3.9,mcg
85,Calcium,50.9,mg
85,Iron,0.4,mg
85,Magnesium,0,mg
85,Phosphorus,0,mg
85,Sodium,55.8,mg
85,Potassium,62.8,mg
85,Zinc,0.1,mg
86,Energy,122,cal
86,Protein,3.1,g
86,Carbohydrates,12.3,g
86,Fiber,0.4,g
86,Fat,6.7,g
86,Cholesterol,1.9,mg
86,Vitamin A,60.8,mcg
86,Vitamin B1,0,mg
86,Vitamin B2,0,mg
86,Vitamin B3,0.4,mg
86,Vitamin C,3.9,mg
86,Folic Acid,3.9,mcg
86,Calcium,50.9,mg
86,Iron,0.4,mg
86,Magnesium,0,mg
86,Phosphorus,0,mg
86,Sodium,55.8,mg
86,Potassium,62.8,mg
86,Zinc,0.1,mg
87,Energy,122,cal
87,Protein,3.1,g
87,Carbohydrates,12.3,g
87,Fiber,0.4,g
87,Fat,6.7,g
87,Cholesterol,1.9,mg
87,Vitamin A,60.8,mcg
87,Vitamin B1,0,mg
87,Vitamin B2,0,mg
87,Vitamin B3,0.4,mg
87,Vitamin C,3.9,mg
87,Folic Acid,3.9,mcg
87,Calcium,50.9,mg
87,Iron,0.4,mg
87,Magnesium,0,mg
87,Phosphorus,0,mg
87,Sodium,55.8,mg
87,Potassium,62.8,mg
87,Zinc,0.1,mg
88,Energy,150,cal
88,Protein,1,g
88,Carbohydrates,14,g
88,Fiber,1.1,g
88,Fat,10.1,g
88,Cholesterol,0,mg
88,Vitamin A,243.1,mcg
88,Vitamin B1,0.1,mg
88,Vitamin B2,0,mg
88,Vitamin B3,0.8,mg
88,Vitamin C,13.1,mg
88,Folic Acid,10.4,mcg
88,Calcium,9.8,mg
88,Iron,0.3,mg
88,Magnesium,0,mg
88,Phosphorus,0,mg
88,Sodium,7.9,mg
88,Potassium,156.6,mg
88,Zinc,0.3,mg
89,Energy,148,cal
89,Protein,2.8,g
89,Carbohydrates,28.1,g
89,Fiber,2.2,g
89,Fat,2.7,g
89,Cholesterol,0,mg
89,Vitamin A,32.2,mcg
89,Vitamin B1,0,mg
89,Vitamin B2,0,mg
89,Vitamin B3,1,mg
89,Vitamin C,13.3,mg
89,Calcium,10.8,mg
89,Iron,0.5,mg
89,Folic Acid,5.3,mcg
89,Sodium,11.7,mg
89,Potassium,68.1,mg
89,Zinc,0.6,mg
90,Energy,303,cal
90,Protein,5.1,g
90,Carbohydrates,55.1,g
90,Fiber,3.6,g
90,Fat,6.9,g
90,Cholesterol,0,mg
90,Vitamin A,68.2,mcg
90,Vitamin B1,0.1,mg
90,Vitamin B2,0.1,mg
90,Vitamin B3,1.6,mg
90,Vitamin C,13.3,mg
90,Folic Acid,8.1,mcg
90,Calcium,14.3,mg
90,Iron,0.8,mg
90,Magnesium,0,mg
90,Phosphorus,0,mg
90,Sodium,11.7,mg
90,Potassium,68.1,mg
90,Zinc,1,mg
91,Energy,318,cal
91,Protein,5.2,g
91,Carbohydrates,56.4,g
91,Fiber,3.7,g
91,Fat,7.9,g
91,Cholesterol,0,mg
91,Sodium,15.6,mg
92,Energy,318,cal
92,Protein,5.2,g
92,Carbohydrates,56.4,g
92,Fiber,3.7,g
92,Fat,7.9,g
92,Cholesterol,0,mg
92,Sodium,15.6,mg
93,Energy,341,cal
93,Protein,3.6,g
93,Carbohydrates,30.5,g
93,Fiber,4.7,g
93,Fat,22.9,g
93,Cholesterol,0,mg
93,Sodium,8764.5,mg
94,Energy,208,cal
94,Protein,3,g
94,Carbohydrates,23.7,g
94,Fiber,3.7,g
94,Fat,11.3,g
94,Cholesterol,0,mg
94,Sodium,39.9,mg
95,Energy,208,cal
95,Protein,3,g
95,Carbohydrates,23.7,g
95,Fiber,3.7,g
95,Fat,11.3,g
95,Cholesterol,0,mg
95,Sodium,39.9,mg
96,Energy,208,cal
96,Protein,3,g
96,Carbohydrates,23.7,g
96,Fiber,3.7,g
96,Fat,11.3,g
96,Cholesterol,0,mg
96,Sodium,39.9,mg
97,Energy,95,cal
97,Protein,1.5,g
97,Carbohydrates,20.7,g
97,Fiber,2.4,g
97,Fat,0.7,g
97,Cholesterol,1.9,mg
97,Sodium,15.6,mg
98,Energy,169,cal
98,Protein,0.9,g
98,Carbohydrates,12,g
98,Fiber,0.9,g
98,Fat,13.1,g
98,Cholesterol,0,mg
98,Vitamin A,128.5,mcg
98,Vitamin B1,0.1,mg
98,Vitamin B2,0,mg
98,Vitamin B3,0.6,mg
98,Vitamin C,9.3,mg
98,Folic Acid,8.8,mcg
98,Calcium,9.5,mg
98,Iron,0.3,mg
98,Magnesium,0,mg
98,Phosphorus,0,mg
98,Sodium,5.7,mg
98,Potassium,131.3,mg
98,Zinc,0.3,mg
99,Energy,86,cal
99,Protein,1.1,g
99,Carbohydrates,7.8,g
99,Fiber,0.1,g
99,Fat,5.6,g
99,Cholesterol,0,mg
99,Vitamin A,52.6,mcg
99,Vitamin B1,0,mg
99,Vitamin B2,0,mg
99,Vitamin B3,0.3,mg
99,Vitamin C,0.3,mg
99,Folic Acid,0.3,mcg
99,Calcium,2.5,mg
99,Iron,0.3,mg
99,Magnesium,0,mg
99,Phosphorus,0,mg
99,Sodium,1.1,mg
99,Potassium,17.6,mg
99,Zinc,0.1,mg
100,Energy,194,cal
100,Protein,2.2,g
100,Carbohydrates,34.8,g
100,Fiber,2.4,g
100,Fat,5.2,g
100,Cholesterol,0,mg
100,Sodium,15.2,mg
101,Energy,194,cal
101,Protein,2.2,g
101,Carbohydrates,34.8,g
101,Fiber,2.4,g
101,Fat,5.2,g
101,Cholesterol,0,mg
101,Sodium,15.2,mg
102,Energy,76,cal
102,Protein,1.3,g
102,Carbohydrates,10.7,g
102,Fiber,0.5,g
102,Fat,3.1,g
102,Cholesterol,0,mg
102,Sodium,2.6,mg
103,Energy,478,cal
103,Protein,8.8,g
103,Carbohydrates,24.5,g
103,Fiber,1.5,g
103,Fat,37.2,g
103,Cholesterol,0,mg
103,Vitamin A,307.9,mcg
103,Vitamin B1,0.3,mg
103,Vitamin B2,0.1,mg
103,Vitamin B3,1.2,mg
103,Vitamin C,13.3,mg
103,Folic Acid,14.5,mcg
103,Calcium,134.1,mg
103,Iron,2,mg
103,Magnesium,0,mg
103,Phosphorus,0,mg
103,Sodium,17.1,mg
103,Potassium,224.4,mg
103,Zinc,1.9,mg
104,Energy,174,cal
104,Protein,2.1,g
104,Carbohydrates,23.9,g
104,Fiber,2.8,g
104,Fat,7.8,g
104,Cholesterol,0,mg
104,Sodium,18.3,mg
105,Energy,243,cal
105,Protein,2.4,g
105,Carbohydrates,12.6,g
105,Fiber,4.1,g
105,Fat,20.4,g
105,Cholesterol,0,mg
105,Sodium,33.5,mg
106,Energy,243,cal
106,Protein,2.4,g
106,Carbohydrates,12.6,g
106,Fiber,4.1,g
106,Fat,20.4,g
106,Cholesterol,0,mg
106,Sodium,33.5,mg
107,Energy,160,cal
107,Protein,3.4,g
107,Carbohydrates,24.8,g
107,Fiber,0.9,g
107,Fat,5.3,g
107,Cholesterol,0,mg
107,Vitamin A,239.6,mcg
107,Vitamin B1,0.1,mg
107,Vitamin B2,0,mg
107,Vitamin B3,0.8,mg
107,Vitamin C,8.7,mg
107,Folic Acid,4.4,mcg
107,Calcium,27.6,mg
107,Iron,0.8,mg
107,Magnesium,0,mg
107,Phosphorus,0,mg
107,Sodium,7.7,mg
107,Potassium,90.1,mg
107,Zinc,0.3,mg
108,Energy,92,cal
108,Protein,4.8,g
108,Carbohydrates,15,g
